open,high,low,close,volume,vwap,timestamp,transactions,otc
99.82,100.01,97.53,97.69,20235699.0,98.1523,2024-01-16 05:00:00,204887,
96.6,97.96,96.58,96.98,18384015.0,97.0788,2024-01-17 05:00:00,167987,
97.0,97.09,95.82,96.8,20940275.0,96.5608,2024-01-18 05:00:00,180232,
96.72,97.0156,96.41,96.95,20088432.0,96.7993,2024-01-19 05:00:00,155521,
96.7,97.095,95.77,96.82,19955946.0,96.513,2024-01-22 05:00:00,154242,
96.81,98.5,96.73,97.91,15863433.0,97.8708,2024-01-23 05:00:00,141763,
98.32,99.65,97.74,99.6,17330646.0,99.0147,2024-01-24 05:00:00,151289,
100.31,102.18,99.615,102.13,22089510.0,101.0015,2024-01-25 05:00:00,194763,
101.97,103.08,101.1901,103.0,20817240.0,102.3533,2024-01-26 05:00:00,163411,
102.98,103.2,101.86,103.13,18317549.0,102.7861,2024-01-29 05:00:00,139881,
102.41,104.88,102.1,104.85,19610934.0,104.0225,2024-01-30 05:00:00,172670,
104.74,104.88,102.7714,102.81,22415291.0,103.4809,2024-01-31 05:00:00,184343,
103.57,104.01,101.62,102.39,19240687.0,102.7593,2024-02-01 05:00:00,189911,
103.75,104.0,101.611,101.97,21973405.0,102.701,2024-02-02 05:00:00,212057,
101.45,102.38,100.5,101.55,17190890.0,101.539,2024-02-05 05:00:00,161799,
102.07,103.04,101.57,102.25,13353286.0,102.2765,2024-02-06 05:00:00,128404,
102.25,102.73,101.18,102.22,13826832.0,101.8942,2024-02-07 05:00:00,130111,
102.34,104.42,102.11,103.97,19636898.0,103.598,2024-02-08 05:00:00,176200,
104.1,104.84,101.7,101.77,20410510.0,102.4942,2024-02-09 05:00:00,173338,
102.16,103.4,102.0,103.17,18173061.0,102.9804,2024-02-12 05:00:00,158102,
102.76,103.09,100.6,101.34,18917431.0,101.4955,2024-02-13 05:00:00,170768,
101.87,102.615,100.42,100.84,17651253.0,101.118,2024-02-14 05:00:00,161390,
100.6,103.935,100.6,103.73,23196310.0,103.0426,2024-02-15 05:00:00,192102,
104.01,104.63,103.52,103.73,20151426.0,104.0275,2024-02-16 05:00:00,159993,
103.84,104.12,102.645,102.75,17650010.0,103.263,2024-02-20 05:00:00,169645,
103.02,104.98,102.99,104.85,20999189.0,104.4417,2024-02-21 05:00:00,186508,
104.16,105.41,103.45,104.76,20470668.0,104.8128,2024-02-22 05:00:00,178409,
103.88,104.09,102.88,103.84,15975888.0,103.6711,2024-02-23 05:00:00,144200,
103.72,104.935,103.05,104.25,13360800.0,104.3918,2024-02-26 05:00:00,117388,
104.68,105.15,103.85,104.03,16359978.0,104.3359,2024-02-27 05:00:00,145821,
104.47,105.43,104.0,104.32,14810486.0,104.5062,2024-02-28 05:00:00,123738,
104.675,105.07,104.215,104.52,17566066.0,104.61,2024-02-29 05:00:00,128127,
105.72,106.39,105.375,105.84,18460120.0,105.9102,2024-03-01 05:00:00,177720,
105.66,105.85,104.03,104.36,18137989.0,104.6805,2024-03-04 05:00:00,168188,
104.53,106.27,104.32,105.64,19952712.0,105.6352,2024-03-05 05:00:00,177400,
106.62,107.57,106.15,106.77,20472790.0,106.8204,2024-03-06 05:00:00,193077,
106.6,107.98,106.6,107.37,15195406.0,107.4742,2024-03-07 05:00:00,137445,
107.23,108.4,106.77,108.38,16281468.0,107.891,2024-03-08 05:00:00,161052,
108.25,109.12,107.34,109.02,17577285.0,108.4348,2024-03-11 04:00:00,165770,
109.06,109.28,108.025,108.32,14957247.0,108.5229,2024-03-12 04:00:00,144738,
109.14,110.35,109.1101,109.53,17122239.0,109.6956,2024-03-13 04:00:00,161199,
109.83,111.55,109.69,111.47,22121014.0,110.9986,2024-03-14 04:00:00,172651,
110.85,112.3,110.85,111.27,38264401.0,111.3843,2024-03-15 04:00:00,174665,
111.79,112.86,111.1,112.3,16770462.0,112.2193,2024-03-18 04:00:00,144722,
112.22,113.485,112.06,113.09,14878756.0,113.0861,2024-03-19 04:00:00,131662,
112.72,113.4,112.13,112.99,16119703.0,112.7706,2024-03-20 04:00:00,138263,
112.92,113.91,112.57,113.49,14878022.0,113.5611,2024-03-21 04:00:00,114251,
113.48,113.685,112.8239,113.49,14701933.0,113.3117,2024-03-22 04:00:00,113207,
113.83,115.775,113.83,114.65,14011734.0,114.8743,2024-03-25 04:00:00,127569,
114.66,114.98,113.41,113.79,13152287.0,114.0108,2024-03-26 04:00:00,122583,
113.48,115.06,113.41,114.97,12415674.0,114.545,2024-03-27 04:00:00,116373,
115.53,116.45,115.06,116.24,18482055.0,115.9395,2024-03-28 04:00:00,140318,
116.41,117.24,115.38,116.99,13816996.0,116.7269,2024-04-01 04:00:00,132833,
117.92,119.6,117.33,119.28,19919643.0,118.8293,2024-04-02 04:00:00,188444,
119.48,119.7479,118.73,119.3,16504307.0,119.3103,2024-04-03 04:00:00,145586,
119.05,119.88,118.64,119.72,18467362.0,119.4563,2024-04-04 04:00:00,161782,
119.98,122.15,119.64,121.37,21720591.0,121.0538,2024-04-05 04:00:00,196956,
121.08,121.735,120.205,120.55,17513939.0,121.0165,2024-04-08 04:00:00,176753,
121.0,121.6492,120.34,121.18,14135720.0,120.9445,2024-04-09 04:00:00,149277,
121.22,122.47,120.73,122.2,17409184.0,121.7734,2024-04-10 04:00:00,177163,
122.69,122.69,120.34,121.79,17555869.0,121.4572,2024-04-11 04:00:00,157649,
122.95,123.75,119.67,120.37,21556218.0,121.5555,2024-04-12 04:00:00,219041,
121.09,121.69,119.45,119.68,15029528.0,120.2211,2024-04-15 04:00:00,151559,
119.555,120.22,117.92,118.69,18082228.0,118.7976,2024-04-16 04:00:00,193271,
118.55,119.35,117.12,118.63,14538577.0,118.4657,2024-04-17 04:00:00,150150,
119.0,119.72,117.97,118.52,13821356.0,118.6532,2024-04-18 04:00:00,141965,
119.155,120.925,118.95,119.88,21572367.0,119.9557,2024-04-19 04:00:00,185819,
119.26,121.565,118.43,120.56,16340694.0,120.4232,2024-04-22 04:00:00,153196,
120.0,121.06,119.45,121.03,13929816.0,120.5803,2024-04-23 04:00:00,152261,
120.3,121.255,119.39,121.05,12101161.0,120.677,2024-04-24 04:00:00,128147,
121.03,121.76,119.4,121.33,16041029.0,120.8666,2024-04-25 04:00:00,178711,
119.0,119.1,116.22,117.96,27289468.0,117.6909,2024-04-26 04:00:00,268397,
